first_name,last_name,nickname,record,age,height,weight,weight_class,debut,arm_reach,leg_reach,born_town,academy,fighter_style,wins_by_ko,wins_by_first_round_ko,sig_striking_landed,sig_striking_throw,takedowns_attempted,takedowns_landed,takedowns_avg,sig_striking_landed_min,avg_knockdown_fight,striking_defence,knockdown_avg,sig_striking_recieved_min,sub_avg_per_fight,takedown_defence,avg_fight_time,sig_striking_landed_by_pos,wins_by_method,sig_striking_by_target
Andrea,Lee,"""KGB""",13-6-0 (W-L-D),34,66.00,125.00,Women's Flyweight,"May. 19, 2018",69.50,37.00,"Atlanta, Estados Unidos",Team Lee,Muay Thai,3,5,678,1375,28,3,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(79%)', 'number': '539'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '79'}}, {'name': 'Suelo', 'value': {'percentage': '(9%)', 'number': '60'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(23%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(38%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(38%)', 'number': '5'}}]}","{'head': {'percentage': '48%', 'value': '328'}, 'body': {'percentage': '32%', 'value': '216'}, 'legs': {'percentage': '20%', 'value': '134'}}"
Cheyden,Leialoha,"""Steadfast""",6-1-0 (W-L-D),28,68.00,135.50,Bantamweight,"Aug. 01, 2017",73.00,,"Puna, Estados Unidos",,,0,0,28,98,6,,33%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(64%)', 'number': '18'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(25%)', 'number': '7'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(17%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(33%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(50%)', 'number': '3'}}]}","{'head': {'percentage': '50%', 'value': '14'}, 'body': {'percentage': '43%', 'value': '12'}, 'legs': {'percentage': '7%', 'value': '2'}}"
Claudia,Leite,,0-1-0 (W-L-D),26,,136.00,Women's Bantamweight,"Mar. 07, 2023",,,,,,0,0,19,40,4,,25%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(79%)', 'number': '15'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(11%)', 'number': '2'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '11%', 'value': '2'}, 'body': {'percentage': '37%', 'value': '7'}, 'legs': {'percentage': '53%', 'value': '10'}}"
Amanda,Lemos,,13-2-1 (W-L-D),35,64.00,114.50,Women's Strawweight,"Jul. 16, 2017",65.00,36.00,"Belém, Brasil",Marajo Brothers,Boxing,8,3,301,525,9,1,56%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(70%)', 'number': '212'}}, {'name': 'Clinch', 'value': {'percentage': '(16%)', 'number': '49'}}, {'name': 'Suelo', 'value': {'percentage': '(13%)', 'number': '40'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(62%)', 'number': '8'}}, {'name': 'DEC', 'value': {'percentage': '(15%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(23%)', 'number': '3'}}]}","{'head': {'percentage': '63%', 'value': '191'}, 'body': {'percentage': '23%', 'value': '69'}, 'legs': {'percentage': '14%', 'value': '41'}}"
Victoria,Leonardo,"""Fury""",9-5-0 (W-L-D),33,65.00,125.50,Women's Flyweight,"Jan. 20, 2021",64.00,38.50,"Galloway, Estados Unidos",Brett Mason's Elite Combat Academy,MMA,4,3,146,370,17,,29%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(60%)', 'number': '87'}}, {'name': 'Clinch', 'value': {'percentage': '(14%)', 'number': '21'}}, {'name': 'Suelo', 'value': {'percentage': '(26%)', 'number': '38'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(13%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(38%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(50%)', 'number': '4'}}]}","{'head': {'percentage': '58%', 'value': '85'}, 'body': {'percentage': '25%', 'value': '36'}, 'legs': {'percentage': '17%', 'value': '25'}}"
Natan,Levy,,8-1-0 (W-L-D),31,69.00,155.00,Lightweight,"Nov. 20, 2021",71.00,39.00,Israel,Syndicate MMA,Striker,3,5,224,433,35,3,57%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(89%)', 'number': '200'}}, {'name': 'Clinch', 'value': {'percentage': '(4%)', 'number': '10'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '14'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(63%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(38%)', 'number': '3'}}]}","{'head': {'percentage': '56%', 'value': '125'}, 'body': {'percentage': '29%', 'value': '65'}, 'legs': {'percentage': '15%', 'value': '34'}}"
Brandon,Lewis,,0-2-0 (W-L-D),25,64.00,135.50,Bantamweight,"Mar. 07, 2023",65.00,36.00,"Bristol, Estados Unidos",,,0,0,65,221,13,,15%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(94%)', 'number': '61'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '4'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '58%', 'value': '38'}, 'body': {'percentage': '17%', 'value': '11'}, 'legs': {'percentage': '25%', 'value': '16'}}"
Malik,Lewis,,0-1-0 (W-L-D),26,,156.00,Lightweight,"Mar. 07, 2023",,,Alemania,,,0,0,65,96,8,,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(49%)', 'number': '32'}}, {'name': 'Clinch', 'value': {'percentage': '(45%)', 'number': '29'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '4'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '71%', 'value': '46'}, 'body': {'percentage': '28%', 'value': '18'}, 'legs': {'percentage': '2%', 'value': '1'}}"
Derrick,Lewis,"""The Black Beast""",26-11-0 (W-L-D),38,75.00,265.00,Heavyweight,"Apr. 19, 2014",79.00,43.50,"New Orleans, Estados Unidos",4oz Fight Club,Brawler,21,8,580,1147,32,5,28%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(41%)', 'number': '240'}}, {'name': 'Clinch', 'value': {'percentage': '(19%)', 'number': '108'}}, {'name': 'Suelo', 'value': {'percentage': '(40%)', 'number': '232'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(81%)', 'number': '21'}}, {'name': 'DEC', 'value': {'percentage': '(15%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(4%)', 'number': '1'}}]}","{'head': {'percentage': '78%', 'value': '453'}, 'body': {'percentage': '17%', 'value': '98'}, 'legs': {'percentage': '5%', 'value': '29'}}"
Rodrigo,Lidio,,0-1-0 (W-L-D),33,,155.00,Lightweight,"Mar. 07, 2023",,,,,,0,0,3,6,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(67%)', 'number': '2'}}, {'name': 'Clinch', 'value': {'percentage': '(33%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '100%', 'value': '3'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Mabelly,Lima,,0-0-0 (W-L-D),29,62.00,134.00,Women's Bantamweight,"Mar. 07, 2023",,,"Limoeiro do Norte, Brasil",,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Austin,Lingo,"""Lights Out""",9-1-0 (W-L-D),28,70.00,145.50,Featherweight,"Feb. 08, 2020",70.00,39.00,"Dallas, Estados Unidos",Fortis MMA,Boxing,3,2,180,424,3,1,67%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(98%)', 'number': '177'}}, {'name': 'Clinch', 'value': {'percentage': '(2%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(33%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(44%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(22%)', 'number': '2'}}]}","{'head': {'percentage': '73%', 'value': '131'}, 'body': {'percentage': '21%', 'value': '38'}, 'legs': {'percentage': '6%', 'value': '11'}}"
Philipe,Lins,"""Monstro""",16-5-0 (W-L-D),37,74.00,211.00,Light Heavyweight,"May. 02, 2020",78.00,42.50,Brasil,,Striker,8,4,129,270,11,,36%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(84%)', 'number': '109'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '16'}}, {'name': 'Suelo', 'value': {'percentage': '(3%)', 'number': '4'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(53%)', 'number': '8'}}, {'name': 'DEC', 'value': {'percentage': '(20%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(27%)', 'number': '4'}}]}","{'head': {'percentage': '64%', 'value': '82'}, 'body': {'percentage': '24%', 'value': '31'}, 'legs': {'percentage': '12%', 'value': '16'}}"
Ariane,Lipski,"""Queen of Violence""",14-8-0 (W-L-D),29,66.00,135.50,Women's Flyweight,"Jan. 19, 2019",67.00,38.50,"Curitiba, Brasil",American Top Team,Striker,6,3,272,751,5,1,20%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(81%)', 'number': '220'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '29'}}, {'name': 'Suelo', 'value': {'percentage': '(8%)', 'number': '23'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(43%)', 'number': '6'}}, {'name': 'DEC', 'value': {'percentage': '(36%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(21%)', 'number': '3'}}]}","{'head': {'percentage': '49%', 'value': '132'}, 'body': {'percentage': '40%', 'value': '109'}, 'legs': {'percentage': '11%', 'value': '31'}}"
Tainara,Lisboa,,0-0-0 (W-L-D),31,,,Women's Bantamweight,"Mar. 07, 2023",,,,,,0,0,0,0,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Dylan,Lockard,,0-0-0 (W-L-D),30,,145.50,Featherweight,"Mar. 07, 2023",,,"Methuen, Estados Unidos",,,0,0,17,32,5,,40%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(65%)', 'number': '11'}}, {'name': 'Clinch', 'value': {'percentage': '(29%)', 'number': '5'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '71%', 'value': '12'}, 'body': {'percentage': '24%', 'value': '4'}, 'legs': {'percentage': '6%', 'value': '1'}}"
Christian,Lohsen,,0-0-0 (W-L-D),28,,155.50,Lightweight,"Mar. 07, 2023",,,"Lodi, Estados Unidos",,,0,0,79,160,10,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(91%)', 'number': '72'}}, {'name': 'Clinch', 'value': {'percentage': '(4%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(5%)', 'number': '4'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '85%', 'value': '67'}, 'body': {'percentage': '10%', 'value': '8'}, 'legs': {'percentage': '5%', 'value': '4'}}"
Michael,Lombardo,"""The Don""",11-2-0 (W-L-D),32,72.00,168.50,Welterweight,"Mar. 07, 2023",72.00,,"White Plains, Estados Unidos",,MMA,0,0,44,70,23,,22%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(52%)', 'number': '23'}}, {'name': 'Clinch', 'value': {'percentage': '(11%)', 'number': '5'}}, {'name': 'Suelo', 'value': {'percentage': '(36%)', 'number': '16'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '66%', 'value': '29'}, 'body': {'percentage': '25%', 'value': '11'}, 'legs': {'percentage': '9%', 'value': '4'}}"
Xiao,Long,,0-1-0 (W-L-D),24,,161.20,Bantamweight,"Jun. 09, 2022",,,"Hunan, China",,,0,0,78,195,6,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(100%)', 'number': '78'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '33%', 'value': '26'}, 'body': {'percentage': '32%', 'value': '25'}, 'legs': {'percentage': '35%', 'value': '27'}}"
Loma,Lookboonmee,,8-3-0 (W-L-D),27,61.00,115.50,Women's Strawweight,"Oct. 26, 2019",61.50,34.00,Tailandia,BangTao MMA,Striker,1,5,396,675,26,1,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(49%)', 'number': '194'}}, {'name': 'Clinch', 'value': {'percentage': '(42%)', 'number': '166'}}, {'name': 'Suelo', 'value': {'percentage': '(9%)', 'number': '36'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(17%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(83%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '38%', 'value': '149'}, 'body': {'percentage': '45%', 'value': '178'}, 'legs': {'percentage': '17%', 'value': '69'}}"
Ange,Loosa,,9-3-0 (W-L-D),29,70.00,170.50,Welterweight,"Apr. 16, 2022",74.00,40.00,República Democrática del Congo,Sanford MMA,Kickboxer,5,1,281,631,10,,30%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '246'}}, {'name': 'Clinch', 'value': {'percentage': '(4%)', 'number': '12'}}, {'name': 'Suelo', 'value': {'percentage': '(8%)', 'number': '23'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(63%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(25%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(13%)', 'number': '1'}}]}","{'head': {'percentage': '58%', 'value': '162'}, 'body': {'percentage': '19%', 'value': '53'}, 'legs': {'percentage': '23%', 'value': '66'}}"
Diego,Lopes,,0-1-0 (W-L-D),28,71.00,145.50,Featherweight,"Mar. 07, 2023",72.50,41.00,,,,0,0,20,40,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(85%)', 'number': '17'}}, {'name': 'Clinch', 'value': {'percentage': '(10%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(5%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '75%', 'value': '15'}, 'body': {'percentage': '25%', 'value': '5'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Brendan,Loughnane,,16-4-0 (W-L-D),33,69.00,146.00,Lightweight,"Dec. 16, 2012",,,"Manchester, Reino Unido",,MMA,0,0,187,296,10,,30%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(90%)', 'number': '169'}}, {'name': 'Clinch', 'value': {'percentage': '(9%)', 'number': '17'}}, {'name': 'Suelo', 'value': {'percentage': '(1%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '62%', 'value': '116'}, 'body': {'percentage': '10%', 'value': '18'}, 'legs': {'percentage': '28%', 'value': '53'}}"
Joseph,Lowry,,7-2-0 (W-L-D),33,70.00,155.00,Lightweight,"Mar. 07, 2023",72.00,38.00,"Philadelphia, Estados Unidos",,,0,0,71,203,2,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(94%)', 'number': '67'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '4'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '59%', 'value': '42'}, 'body': {'percentage': '31%', 'value': '22'}, 'legs': {'percentage': '10%', 'value': '7'}}"
Iasmin,Lucindo,,13-5-0 (W-L-D),21,63.00,116.00,Women's Strawweight,"Aug. 13, 2022",66.00,36.00,"Fortaleza, Brasil",,Striker,8,2,66,181,2,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(97%)', 'number': '64'}}, {'name': 'Clinch', 'value': {'percentage': '(3%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(62%)', 'number': '8'}}, {'name': 'DEC', 'value': {'percentage': '(23%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(15%)', 'number': '2'}}]}","{'head': {'percentage': '64%', 'value': '42'}, 'body': {'percentage': '23%', 'value': '15'}, 'legs': {'percentage': '14%', 'value': '9'}}"
Qiu,Lun,,1-2-0 (W-L-D),25,68.00,126.00,Flyweight,"Jun. 09, 2022",66.00,37.00,"Sichuan, China",,,0,0,158,341,11,,18%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(90%)', 'number': '142'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '9'}}, {'name': 'Suelo', 'value': {'percentage': '(4%)', 'number': '7'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '48%', 'value': '76'}, 'body': {'percentage': '30%', 'value': '48'}, 'legs': {'percentage': '22%', 'value': '34'}}"
Vicente,Luque,"""The Silent Assassin""",21-9-1 (W-L-D),31,71.00,170.50,Welterweight,"Jul. 12, 2015",75.50,38.00,"Westwood, Estados Unidos","Blackzilians - Boca Raton, FL",Muay Thai,11,8,974,1847,12,6,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '858'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '54'}}, {'name': 'Suelo', 'value': {'percentage': '(6%)', 'number': '62'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(52%)', 'number': '11'}}, {'name': 'DEC', 'value': {'percentage': '(10%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(38%)', 'number': '8'}}]}","{'head': {'percentage': '61%', 'value': '595'}, 'body': {'percentage': '13%', 'value': '122'}, 'legs': {'percentage': '26%', 'value': '257'}}"
Tucker,Lutz,"""Top Gun""",12-2-0 (W-L-D),28,68.00,145.50,Featherweight,"May. 15, 2021",72.00,39.00,Estados Unidos,Team Ground Control,Boxing,6,2,246,474,12,4,67%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(81%)', 'number': '199'}}, {'name': 'Clinch', 'value': {'percentage': '(9%)', 'number': '22'}}, {'name': 'Suelo', 'value': {'percentage': '(10%)', 'number': '25'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(50%)', 'number': '6'}}, {'name': 'DEC', 'value': {'percentage': '(33%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(17%)', 'number': '2'}}]}","{'head': {'percentage': '56%', 'value': '137'}, 'body': {'percentage': '22%', 'value': '54'}, 'legs': {'percentage': '22%', 'value': '55'}}"
Pawan,Maan,,0-1-0 (W-L-D),36,,155.00,Lightweight,"Jun. 09, 2022",,,India,,,0,0,11,25,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(73%)', 'number': '8'}}, {'name': 'Clinch', 'value': {'percentage': '(18%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(9%)', 'number': '1'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '73%', 'value': '8'}, 'body': {'percentage': '27%', 'value': '3'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Veronica,Macedo,,6-4-1 (W-L-D),27,64.00,135.50,Women's Flyweight,"Sep. 03, 2016",64.00,38.00,Venezuela,"Ankos MMA - Zabikowska 66, Lubon",,1,2,164,414,11,1,18%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(79%)', 'number': '130'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '20'}}, {'name': 'Suelo', 'value': {'percentage': '(9%)', 'number': '14'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(17%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(50%)', 'number': '3'}}, {'name': 'SUB', 'value': {'percentage': '(33%)', 'number': '2'}}]}","{'head': {'percentage': '72%', 'value': '118'}, 'body': {'percentage': '16%', 'value': '27'}, 'legs': {'percentage': '12%', 'value': '19'}}"
Valesca,Machado,"""Tina Black""",0-1-0 (W-L-D),26,64.00,115.50,Women's Strawweight,"Mar. 07, 2023",63.50,35.00,,,,0,0,36,110,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(83%)', 'number': '30'}}, {'name': 'Clinch', 'value': {'percentage': '(17%)', 'number': '6'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '69%', 'value': '25'}, 'body': {'percentage': '19%', 'value': '7'}, 'legs': {'percentage': '11%', 'value': '4'}}"
Caio,Machado,,0-0-0 (W-L-D),28,,,Heavyweight,"Mar. 07, 2023",,,"State of São Paulo, Brasil",,,0,0,0,0,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
