first_name,last_name,nickname,record,age,height,weight,weight_class,debut,arm_reach,leg_reach,born_town,academy,fighter_style,wins_by_ko,wins_by_first_round_ko,sig_striking_landed,sig_striking_throw,takedowns_attempted,takedowns_landed,takedowns_avg,sig_striking_landed_min,avg_knockdown_fight,striking_defence,knockdown_avg,sig_striking_recieved_min,sub_avg_per_fight,takedown_defence,avg_fight_time,sig_striking_landed_by_pos,wins_by_method,sig_striking_by_target
Abdul,Razak,,12-5-0 (W-L-D),37,70.00,185.50,Middleweight,"Nov. 19, 2016",73.00,39.00,Ghana,Team Elevation,Muay Thai,12,11,274,561,13,1,38%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(73%)', 'number': '201'}}, {'name': 'Clinch', 'value': {'percentage': '(16%)', 'number': '44'}}, {'name': 'Suelo', 'value': {'percentage': '(11%)', 'number': '29'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(100%)', 'number': '12'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '78%', 'value': '215'}, 'body': {'percentage': '11%', 'value': '30'}, 'legs': {'percentage': '11%', 'value': '29'}}"
Nurullo,Aliev,"""Tajik Eagle """,9-0-0 (W-L-D),22,70.00,155.00,Lightweight,"Feb. 25, 2023",72.00,38.00,"Dushanbe, Tayikistán",,Freestyle,2,1,49,96,9,,44%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(4%)', 'number': '2'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(96%)', 'number': '47'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(25%)', 'number': '2'}}, {'name': 'DEC', 'value': {'percentage': '(75%)', 'number': '6'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '90%', 'value': '44'}, 'body': {'percentage': '8%', 'value': '4'}, 'legs': {'percentage': '2%', 'value': '1'}}"
Ikram,Aliskerov,,1-0-0 (W-L-D),30,,186.00,Middleweight,"Mar. 07, 2023",,,,,,0,0,7,12,3,,33%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(86%)', 'number': '6'}}, {'name': 'Clinch', 'value': {'percentage': '(14%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '14%', 'value': '1'}, 'body': {'percentage': '86%', 'value': '6'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Leon,Aliu,,0-1-0 (W-L-D),33,,186.00,Middleweight,"Mar. 07, 2023",,,,,,0,0,10,20,1,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(70%)', 'number': '7'}}, {'name': 'Clinch', 'value': {'percentage': '(30%)', 'number': '3'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '10%', 'value': '1'}, 'body': {'percentage': '40%', 'value': '4'}, 'legs': {'percentage': '50%', 'value': '5'}}"
Brendan,Allen,"""All In""",21-5-0 (W-L-D),27,74.00,186.00,Middleweight,"Oct. 18, 2019",75.00,42.00,"Beaufort, Estados Unidos",Sanford MMA,MMA,4,5,408,764,19,2,47%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(76%)', 'number': '311'}}, {'name': 'Clinch', 'value': {'percentage': '(7%)', 'number': '29'}}, {'name': 'Suelo', 'value': {'percentage': '(17%)', 'number': '68'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(24%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(19%)', 'number': '4'}}, {'name': 'SUB', 'value': {'percentage': '(57%)', 'number': '12'}}]}","{'head': {'percentage': '59%', 'value': '241'}, 'body': {'percentage': '25%', 'value': '104'}, 'legs': {'percentage': '15%', 'value': '63'}}"
Arnold,Allen,"""Almighty""",19-1-0 (W-L-D),29,68.00,145.50,Featherweight,"Jun. 20, 2015",70.00,39.00,"Ipswich, Reino Unido",BKK / Tristar,MMA,12,7,415,984,22,8,50%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '366'}}, {'name': 'Clinch', 'value': {'percentage': '(4%)', 'number': '18'}}, {'name': 'Suelo', 'value': {'percentage': '(7%)', 'number': '31'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(37%)', 'number': '7'}}, {'name': 'DEC', 'value': {'percentage': '(42%)', 'number': '8'}}, {'name': 'SUB', 'value': {'percentage': '(21%)', 'number': '4'}}]}","{'head': {'percentage': '75%', 'value': '312'}, 'body': {'percentage': '17%', 'value': '70'}, 'legs': {'percentage': '8%', 'value': '33'}}"
Lucas,Almeida,,14-1-0 (W-L-D),32,71.00,160.00,Featherweight,"Jun. 04, 2022",71.00,41.00,"Sorocaba, Brasil",,Striker,9,5,171,359,359,171,48%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(84%)', 'number': '144'}}, {'name': 'Clinch', 'value': {'percentage': '(4%)', 'number': '6'}}, {'name': 'Suelo', 'value': {'percentage': '(12%)', 'number': '21'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(64%)', 'number': '9'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(36%)', 'number': '5'}}]}","{'head': {'percentage': '52%', 'value': '89'}, 'body': {'percentage': '20%', 'value': '34'}, 'legs': {'percentage': '28%', 'value': '48'}}"
Estefani,Almeida,,0-0-0 (W-L-D),34,64.00,126.00,Women's Flyweight,"Mar. 07, 2023",,,"Manaus, Brasil",,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Jailton,Almeida,"""Malhadinho""",18-2-0 (W-L-D),31,75.00,232.00,Heavyweight,"Nov. 13, 2021",79.00,43.50,Brasil,,Boxing,7,11,112,174,17,2,71%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(4%)', 'number': '4'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(96%)', 'number': '108'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(39%)', 'number': '7'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(61%)', 'number': '11'}}]}","{'head': {'percentage': '96%', 'value': '108'}, 'body': {'percentage': '2%', 'value': '2'}, 'legs': {'percentage': '2%', 'value': '2'}}"
Victor,Altamirano,"""El Magnifico""",2-1-0 (W-L-D),32,68.00,125.00,Flyweight,"Feb. 26, 2022",70.00,39.00,"Mexico City, México",,Striker,1,4,237,394,12,1,42%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(66%)', 'number': '156'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '29'}}, {'name': 'Suelo', 'value': {'percentage': '(22%)', 'number': '52'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(10%)', 'number': '1'}}, {'name': 'DEC', 'value': {'percentage': '(50%)', 'number': '5'}}, {'name': 'SUB', 'value': {'percentage': '(40%)', 'number': '4'}}]}","{'head': {'percentage': '53%', 'value': '125'}, 'body': {'percentage': '39%', 'value': '92'}, 'legs': {'percentage': '8%', 'value': '20'}}"
