first_name,last_name,nickname,weight_class,record,uri
Jack,Hermansson,"""The Joker""",Middleweight,23-8-0 (W-L-D),/athlete/jack-hermansson
Carlos,Hernandez,,Flyweight,8-2-0 (W-L-D),/athlete/lyudovit-klayn-2
Anthony,Hernandez,"""Fluffy""",Middleweight,10-2-0 (W-L-D),/athlete/anthony-hernandez
Alexander,Hernandez,"""The Great Ape""",Lightweight,14-6-0 (W-L-D),/athlete/alexander-hernandez
Brady,Hiestand,,Bantamweight,7-2-0 (W-L-D),/athlete/brady-hiestand
Kailan,Hill,,Middleweight,0-0-0 (W-L-D),/athlete/kailan-hill
Tyler,Hill,"""Zombie""",Welterweight,6-1-0 (W-L-D),/athlete/tyler-hill
Jamahal,Hill,"""Sweet Dreams""",Light Heavyweight,12-1-0 (W-L-D),/athlete/jamahal-hill
Angela,Hill,"""Overkill""",Women's Strawweight,15-12-0 (W-L-D),/athlete/angela-hill
Anthony,Hintz,"""Static""",Heavyweight,0-0-0 (W-L-D),/athlete/anthony-hintz
Frank,Holland,"""The Tank""",Heavyweight,0-0-0 (W-L-D),/athlete/frank-holland
Kevin,Holland,"""Trailblazer""",Welterweight,23-9-0 (W-L-D),/athlete/kevin-holland
Max,Holloway,"""Blessed""",Featherweight,23-7-0 (W-L-D),/athlete/max-holloway
Holly,Holm,"""The Preacher's Daughter""",Women's Bantamweight,14-6-0 (W-L-D),/athlete/holly-holm
Joseph,Holmes,"""Uglyman Joe""",Middleweight,8-3-0 (W-L-D),/athlete/rozherio-bontorin-0
JunYoung,Hong,,Featherweight,0-1-0 (W-L-D),/athlete/junyoung-hong
Lorenzo,Hood,,Heavyweight,0-1-0 (W-L-D),/athlete/kerol-rosa-0
Dan,Hooker,"""The Hangman""",Lightweight,22-12-0 (W-L-D),/athlete/dan-hooker
Chase,Hooper,"""The Dream""",Featherweight,11-3-1 (W-L-D),/athlete/chase-hooper
Yuma,Horiuchi,,Flyweight,0-1-0 (W-L-D),/athlete/yuma-horiuchi
Jamey-Lyn,Horth,,Women's Flyweight,0-0-0 (W-L-D),/athlete/jamey-lyn-horth
Brady,Huang,,Bantamweight,11-2-0 (W-L-D),/athlete/brady-huang
Sam,Hughes,"""Sampage""",Women's Strawweight,7-5-0 (W-L-D),/athlete/sam-hughes
Al,Iaquinta,"""Raging""",Lightweight,14-7-1 (W-L-D),/athlete/al-iaquinta
Dan,Ige,"""50K""",Featherweight,16-6-0 (W-L-D),/athlete/dan-ige
Nassourdine,Imavov,,Light Heavyweight,12-4-0 (W-L-D),/athlete/nassourdine-imavov
Mizuki,Inoue,,Women's Strawweight,14-6-0 (W-L-D),/athlete/mizuki-inoue
Damir,Ismagulov,"""Qazaq""",Lightweight,24-2-0 (W-L-D),/athlete/damir-ismagulov
Blagoy,Ivanov,"""Baga""",Heavyweight,19-5-0 (W-L-D),/athlete/blagoy-ivanov
Jason,Jackson,"""Jah-Son""",Welterweight,7-3-0 (W-L-D),/athlete/jason-jackson
Montel,Jackson,"""Quik""",Bantamweight,13-2-0 (W-L-D),/athlete/montel-jackson
Damon,Jackson,"""Action""",Featherweight,22-5-1 (W-L-D),/athlete/damon-jackson
Richard,Jacobi,,Heavyweight,0-1-0 (W-L-D),/athlete/richard-jacobi
Dustin,Jacoby,"""The Hanyak""",Light Heavyweight,18-6-1 (W-L-D),/athlete/dustin-jacoby
Virna,Jandiroba,"""Carcará""",Women's Strawweight,18-3-0 (W-L-D),/athlete/virna-jandiroba
Jasmine,Jasudavicius,,Women's Flyweight,8-2-0 (W-L-D),/athlete/kori-makkenna-6
Yazmin,Jauregui,,Women's Strawweight,10-0-0 (W-L-D),/athlete/yazmin-jauregui
Joanna,Jędrzejczyk,,Women's Strawweight,16-5-0 (W-L-D),/athlete/joanna-jedrzejczyk
