Name,Weight Class,Record
Marcin Tybura,Heavyweight,24-7-0 (W-L-D)
Takeru Uchida,Flyweight,1-0-0 (W-L-D)
Tagir Ulanbekov,Flyweight,15-2-0 (W-L-D)
Carlos Ulberg,Light Heavyweight,8-1-0 (W-L-D)
Logan Urban,Welterweight,0-0-0 (W-L-D)
Gilbert Urbina,Middleweight,6-2-0 (W-L-D)
Elias Urbina,Middleweight,3-1-0 (W-L-D)
Nick Urso,Flyweight,10-4-0 (W-L-D)
Sho Patrick Usami,Lightweight,0-0-0 (W-L-D)
Mohammed Usman,Heavyweight,9-2-0 (W-L-D)
Kamaru Usman,Welterweight,20-2-0 (W-L-D)
Genaro Valdez,Lightweight,10-2-0 (W-L-D)
Ivan Valenzuela,Middleweight,0-1-0 (W-L-D)
Jared Vanderaa,Heavyweight,12-10-0 (W-L-D)
Austin Vanderford,Welterweight,4-0-0 (W-L-D)
Lando Vannata,Featherweight,12-6-2 (W-L-D)
Manny Vazquez,Flyweight,11-2-0 (W-L-D)
Kelly Velasco,Women's Bantamweight,2-2-0 (W-L-D)
Marlon Vera,Bantamweight,20-7-1 (W-L-D)
Nikolay Veretennikov,Welterweight,0-1-0 (W-L-D)
CJ Vergara,Flyweight,10-4-1 (W-L-D)
Marvin Vettori,Middleweight,18-6-1 (W-L-D)
Polyana Viana,Women's Strawweight,13-5-0 (W-L-D)
Tamires Vidal,Women's Bantamweight,7-1-0 (W-L-D)
Rodolfo Vieira,Middleweight,8-2-0 (W-L-D)
Ketlen Vieira,Women's Bantamweight,13-3-0 (W-L-D)
Armando Villarreal,Bantamweight,5-1-0 (W-L-D)
Cheyanne Vlismas,Women's Strawweight,7-3-0 (W-L-D)
Alexander Volkanovski,Lightweight,25-2-0 (W-L-D)
Alexander Volkov,Heavyweight,35-10-0 (W-L-D)
Chase Waldon,Middleweight,11-3-0 (W-L-D)
Brogan Walker,Women's Flyweight,8-3-0 (W-L-D)
Johnny Walker,Light Heavyweight,20-7-0 (W-L-D)
Randall Wallace,Middleweight,15-7-0 (W-L-D)
James Wallace,Lightweight,9-2-0 (W-L-D)
Joshua Wang-Kim,Bantamweight,0-1-0 (W-L-D)
Trey Waters,Welterweight,0-1-0 (W-L-D)
Michelle Waterson-Gomez,Women's Strawweight,18-10-0 (W-L-D)
Chris Weidman,Middleweight,15-6-0 (W-L-D)
Jeremiah Wells,Welterweight,11-2-0 (W-L-D)
Sheldon Westcott,Welterweight,10-3-1 (W-L-D)
Patrik White,Lightweight,0-1-0 (W-L-D)
Robert Whittaker,Middleweight,25-6-0 (W-L-D)
Josh Wick,Lightweight,0-1-0 (W-L-D)
Khaos Williams,Welterweight,13-3-0 (W-L-D)
Karl Williams,Heavyweight,7-1-0 (W-L-D)
Karolina Wojcik,Women's Strawweight,1-0-0 (W-L-D)
Danyelle Wolf,Women's Featherweight,1-1-0 (W-L-D)
Nathaniel Wood,Featherweight,19-5-0 (W-L-D)
Joanne Wood,Women's Flyweight,15-8-0 (W-L-D)
Sean Woodson,Featherweight,9-1-1 (W-L-D)
Jordan Wright,Light Heavyweight,12-5-0 (W-L-D)
Rani Yahya,Bantamweight,28-10-1 (W-L-D)
Qihui Yan,Women's Flyweight,0-1-0 (W-L-D)
Xiaonan Yan,Women's Strawweight,16-3-0 (W-L-D)
Petr Yan,Bantamweight,16-4-0 (W-L-D)
Adrian Yanez,Bantamweight,16-3-0 (W-L-D)
Ashley Yoder,Women's Strawweight,8-8-0 (W-L-D)
Sang Hoon Yoo,Lightweight,0-0-0 (W-L-D)
Shane Young,Featherweight,13-7-0 (W-L-D)
Sodiq Yusuff,Featherweight,13-2-0 (W-L-D)
Aiemann Zahabi,Bantamweight,9-2-0 (W-L-D)
Joao Zaiden,Light Heavyweight,0-0-0 (W-L-D)
Zach Zane,Featherweight,12-7-0 (W-L-D)
Daniel Zellhuber,Lightweight,12-1-0 (W-L-D)
Yi Zha,Featherweight,21-4-0 (W-L-D)
Zhang Weili,Women's Strawweight,23-3-0 (W-L-D)
Shang Zhifa,Flyweight,0-1-0 (W-L-D)
Zhalgas Zhumagulov,Flyweight,14-8-0 (W-L-D)
Farès Ziam,Lightweight,13-4-0 (W-L-D)
