Name,Weight Class,Record
Asikeerbai Jinensibieke,Lightweight,0-0-0 (W-L-D)
Asikerbai Jinensibieke,Lightweight,0-0-0 (W-L-D)
Li Jingliang,Welterweight,19-8-0 (W-L-D)
Miles Johns,Bantamweight,13-2-0 (W-L-D)
Taylor Johnson,Middleweight,0-0-0 (W-L-D)
Chad Johnson,Heavyweight,6-2-0 (W-L-D)
Tony Johnson,Light Heavyweight,7-2-0 (W-L-D)
Michael Johnson,Lightweight,22-18-0 (W-L-D)
Charles Johnson,Flyweight,13-4-0 (W-L-D)
Jose Johnson,Bantamweight,15-7-0 (W-L-D)
Daniel Jolly,Light Heavyweight,5-3-0 (W-L-D)
Jamelle Jones,Light Heavyweight,7-5-0 (W-L-D)
Justin Jones,Middleweight,9-2-0 (W-L-D)
Antonio Jones,Middleweight,7-0-0 (W-L-D)
Trevin Jones,Bantamweight,13-9-0 (W-L-D)
Jon Jones,Heavyweight,26-1-0 (W-L-D)
Dwight Joseph,Bantamweight,0-0-0 (W-L-D)
Charles Jourdain,Featherweight,13-6-1 (W-L-D)
Dustin Joynson,Heavyweight,0-0-0 (W-L-D)
Anshul Jubli,Lightweight,7-0-0 (W-L-D)
Da Woon Jung,Light Heavyweight,15-4-1 (W-L-D)
Chan Sung Jung,Featherweight,17-7-0 (W-L-D)
Oron Kahlon,Bantamweight,0-1-0 (W-L-D)
Lu Kai,Featherweight,1-1-0 (W-L-D)
Kyung Ho Kang,Bantamweight,18-9-0 (W-L-D)
